x;y;X;Y
129;-122;120;-120
129;-122;-120;120
129;-119;;
129;-116;;
129;-110;;
129;-107;;
126;-105;;
122;-103;;
114;-100;;
110;-99;;
106;-97;;
97;-94;;
97;-94;;
89;-90;;
84;-88;;
75;-83;;
75;-83;;
66;-76;;
61;-71;;
52;-61;;
47;-57;;
44;-53;;
40;-50;;
34;-43;;
34;-43;;
27;-36;;
27;-32;;
27;-25;;
27;-25;;
27;-18;;
27;-14;;
26;-10;;
23;-2;;
22;0;;
20;3;;
19;7;;
12;13;;
9;14;;
5;14;;
-2;14;;
-2;14;;
-10;14;;
-17;14;;
-17;14;;
-25;14;;
-27;14;;
-27;14;;
-27;15;;
-27;18;;
-27;19;;
-27;20;;
-27;22;;
-27;23;;
-27;23;;
-27;23;;
-27;23;;
-27;23;;
-27;23;;
-27;23;;
-27;23;;
-30;23;;
-33;23;;
-36;23;;
-39;23;;
-45;23;;
-48;23;;
-52;23;;
-56;23;;
-64;23;;
-67;23;;
-71;23;;
-73;23;;
-80;29;;
-83;32;;
-86;35;;
-88;42;;
-88;45;;
-88;49;;
-88;52;;
-88;56;;
-88;60;;
-91;67;;
-92;69;;
-93;72;;
-96;77;;
-97;79;;
-99;81;;
-100;81;;
-103;81;;
-105;81;;
-106;81;;
-108;81;;
-110;81;;
-111;81;;
-112;81;;
-112;81;;
-112;84;;
-112;86;;
-112;89;;
-112;91;;
-112;96;;
-112;98;;
-112;99;;
-112;101;;
-112;104;;
