;Date;Time;x;y;fx;fy;;;;
1;28/11/2022;10:46:44.813;120;-120;0;100;;;;
;28/11/2022;10:46:44.875;120;-120;0;100;;;;
;28/11/2022;10:46:44.938;120;-120;0;100;;;;
;28/11/2022;10:46:45.000;120;-120;0;100;;;;
;28/11/2022;10:46:45.063;120;-119;0;121;;;;
;28/11/2022;10:46:45.125;120;-117;0;121;;;;
;28/11/2022;10:46:45.188;120;-116;0;121;;;;
;28/11/2022;10:46:45.250;120;-113;30;121;;;;
;28/11/2022;10:46:45.313;120;-111;30;121;;;;
;28/11/2022;10:46:45.375;120;-110;30;120;;;;
;28/11/2022;10:46:45.438;120;-108;30;120;;;;
;28/11/2022;10:46:45.500;120;-105;26;120;;;;
;28/11/2022;10:46:45.563;120;-104;26;120;;;;
;28/11/2022;10:46:45.625;120;-103;26;120;;;;
;28/11/2022;10:46:45.688;120;-101;26;124;;;;
;28/11/2022;10:46:45.750;120;-98;26;124;;;;
;28/11/2022;10:46:45.813;120;-97;26;124;;;;
;28/11/2022;10:46:45.875;120;-95;0;124;;;;
;28/11/2022;10:46:45.938;120;-92;0;213;;;;
;28/11/2022;10:46:46.000;120;-89;0;213;;;;
;28/11/2022;10:46:46.063;120;-86;0;213;;;;
;28/11/2022;10:46:46.125;120;-82;0;213;;;;
;28/11/2022;10:46:46.188;120;-79;0;213;;;;
;28/11/2022;10:46:46.250;120;-73;0;263;;;;
;28/11/2022;10:46:46.313;120;-68;0;263;;;;
;28/11/2022;10:46:46.375;120;-63;0;263;;;;
;28/11/2022;10:46:46.438;120;-59;0;263;;;;
;28/11/2022;10:46:46.500;120;-49;0;263;;;;
;28/11/2022;10:46:46.563;120;-44;0;263;;;x;y
;28/11/2022;10:46:46.625;120;-43;0;82;;;;
;28/11/2022;10:46:46.688;120;-43;0;82;;;;
;28/11/2022;10:46:46.750;120;-43;0;82;;;;
;28/11/2022;10:46:46.813;120;-43;0;82;;;;
;28/11/2022;10:46:46.875;120;-43;0;82;;;;
;28/11/2022;10:46:46.938;120;-40;0;275;;;;
;28/11/2022;10:46:47.000;120;-30;0;275;;;;
;28/11/2022;10:46:47.063;120;-26;0;275;;;;
;28/11/2022;10:46:47.125;120;-21;64;275;;;;
;28/11/2022;10:46:47.188;120;-16;64;275;;;;
;28/11/2022;10:46:47.250;120;-11;64;143;;;;
;28/11/2022;10:46:47.313;120;-10;64;143;;;;
;28/11/2022;10:46:47.375;120;-8;64;143;;;;
;28/11/2022;10:46:47.438;120;-6;0;143;;;;
;28/11/2022;10:46:47.500;120;-2;0;306;;;;
;28/11/2022;10:46:47.563;120;1;0;306;;;;
;28/11/2022;10:46:47.625;120;4;0;306;;;;
;28/11/2022;10:46:47.688;120;8;0;306;;;;
;28/11/2022;10:46:47.750;120;15;0;306;;;;
;28/11/2022;10:46:47.813;120;19;0;261;;;;
;28/11/2022;10:46:47.875;120;24;0;261;;;;
;28/11/2022;10:46:47.938;120;29;0;261;;;;
;28/11/2022;10:46:48.001;120;38;0;261;;;;
;28/11/2022;10:46:48.063;120;43;0;261;;;;
;28/11/2022;10:46:48.126;120;47;0;81;;;;
;28/11/2022;10:46:48.188;120;47;0;81;;;;
;28/11/2022;10:46:48.251;120;47;0;81;;;;
;28/11/2022;10:46:48.313;120;47;0;81;;;;
;28/11/2022;10:46:48.376;120;47;0;81;;;;
;28/11/2022;10:46:48.438;120;47;0;286;;;;
;28/11/2022;10:46:48.501;120;57;0;286;;;;
;28/11/2022;10:46:48.563;120;61;0;286;;;;
;28/11/2022;10:46:48.626;120;66;0;286;;;;
;28/11/2022;10:46:48.688;121;71;132;286;;;;
;28/11/2022;10:46:48.751;124;76;132;0;;;;
;28/11/2022;10:46:48.813;126;76;132;0;;;;
;28/11/2022;10:46:48.876;128;76;132;0;;;;
;28/11/2022;10:46:48.938;129;76;132;0;;;;
;28/11/2022;10:46:49.001;130;76;0;0;;;;
;28/11/2022;10:46:49.063;130;77;0;206;;;;
;28/11/2022;10:46:49.126;130;81;0;206;;;;
